year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio
2023,Senior,Full-time,Principal Data Scientist,85847,Full remote
2023,Mid-level,Contract,ML Engineer,30000,Full remote
2023,Mid-level,Contract,ML Engineer,25500,Full remote
2023,Senior,Full-time,Data Scientist,175000,Full remote
2023,Senior,Full-time,Data Scientist,120000,Full remote
2023,Senior,Full-time,Applied Scientist,222200,On-site work
2023,Senior,Full-time,Applied Scientist,136000,On-site work
2023,Senior,Full-time,Data Scientist,219000,On-site work
2023,Senior,Full-time,Data Scientist,141000,On-site work
2023,Senior,Full-time,Data Scientist,147100,On-site work
2023,Senior,Full-time,Data Scientist,90700,On-site work
2023,Senior,Full-time,Data Analyst,130000,Full remote
2023,Senior,Full-time,Data Analyst,100000,Full remote
2023,Entry-level,Full-time,Applied Scientist,213660,On-site work
2023,Entry-level,Full-time,Applied Scientist,130760,On-site work
2023,Senior,Full-time,Data Modeler,147100,On-site work
2023,Senior,Full-time,Data Modeler,90700,On-site work
2023,Senior,Full-time,Data Scientist,170000,On-site work
2023,Senior,Full-time,Data Scientist,150000,On-site work
2023,Mid-level,Full-time,Data Analyst,150000,Full remote
2023,Mid-level,Full-time,Data Analyst,110000,Full remote
2023,Senior,Full-time,Research Engineer,275000,On-site work
2023,Senior,Full-time,Research Engineer,174000,On-site work
2023,Senior,Full-time,Analytics Engineer,230000,Full remote
2023,Senior,Full-time,Analytics Engineer,143200,Full remote
2023,Senior,Full-time,Business Intelligence Engineer,225000,On-site work
2023,Senior,Full-time,Business Intelligence Engineer,156400,On-site work
2023,Senior,Full-time,Machine Learning Engineer,200000,On-site work
2023,Senior,Full-time,Machine Learning Engineer,130000,On-site work
2023,Senior,Full-time,Data Strategist,90000,On-site work
2023,Senior,Full-time,Data Strategist,72000,On-site work
2023,Senior,Full-time,Data Engineer,253200,On-site work
2023,Senior,Full-time,Data Engineer,90700,On-site work
2023,Senior,Full-time,Computer Vision Engineer,342810,On-site work
2023,Senior,Full-time,Computer Vision Engineer,184590,On-site work
2023,Mid-level,Full-time,Data Engineer,162500,On-site work
2023,Mid-level,Full-time,Data Engineer,130000,On-site work
2023,Mid-level,Full-time,Data Analyst,105380,On-site work
2023,Mid-level,Full-time,Data Analyst,64500,On-site work
2023,Entry-level,Full-time,Data Quality Analyst,100000,Full remote
2023,Entry-level,Full-time,Compliance Data Analyst,30000,Full remote
2022,Mid-level,Full-time,Machine Learning Engineer,20984,Partially remote
2023,Entry-level,Full-time,Applied Scientist,204620,On-site work
2023,Entry-level,Full-time,Applied Scientist,110680,On-site work
2023,Senior,Full-time,Data Engineer,270703,On-site work
2023,Senior,Full-time,Data Engineer,221484,On-site work
2023,Senior,Full-time,Data Scientist,212750,Full remote
2023,Senior,Full-time,Data Scientist,185000,Full remote
2023,Senior,Full-time,Data Scientist,262000,Full remote
